,change_type,history,osm_type,osm_id,geometry,tag_key,tag_value,start_ds,end_ds
47,modify,new,way,791749544,"POLYGON ((131.8634275 37.2424161, 131.8634275 37.2429537, 131.8624817 37.2429537, 131.8624817 37.2424161, 131.8634275 37.2424161))",name:ko,상장군바위,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
48,modify,new,way,791749544,"POLYGON ((131.8634275 37.2424161, 131.8634275 37.2429537, 131.8624817 37.2429537, 131.8624817 37.2424161, 131.8634275 37.2424161))",place,islet,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
0,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",addr:country,KR,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
1,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",addr:county,울릉군,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
2,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",addr:postcode,40240,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
3,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",addr:province,경상북도,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
4,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",addr:town,울릉읍,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
5,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name,동도,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
6,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:en,Dong-do,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
7,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:ko,동도,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
8,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",website,http://dokdo.mofa.go.kr/kor/,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
9,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",wikipedia,ko:독도,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
10,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:el,Ντόνγκντο,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
11,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:ja,東島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
12,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:zh,东岛,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
13,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",natural,coastline,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
14,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",place,islet,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
15,modify,old,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",wikidata,Q20317,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
16,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",addr:country,JP,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
17,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",wikidata,Q20317,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
18,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",place,islet,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
19,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",addr:province,島根県,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
20,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",addr:town,隠岐郡隠岐の島町,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
21,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name,竹島 女島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
22,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",name:en,takeshima east,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
23,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",natural,coastline,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
24,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",website,https://www.mofa.go.jp/mofaj/area/takeshima/gaiyo.html,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
25,modify,new,way,456788681,"POLYGON ((131.8721808 37.2380358, 131.8721808 37.2420157, 131.8671561 37.2420157, 131.8671561 37.2380358, 131.8721808 37.2380358))",wikipedia,ja:竹島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
